gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,phase,motion
0.046967998,-0.001943,0.010154,0.04759608,-0.001912736,0.010249051,0.086651288,3.84E-01
0.046817001,-0.001842,0.010263,0.047330701,-0.001876102,0.010228653,0.086651288,3.63E-01
0.046778999,-0.001864,0.010253,0.047437368,-0.00199545,0.010137326,0.048943676,3.44E-01
0.046760999,-0.001883,0.01024,0.047124461,-0.0018407,0.010285134,0.048943676,3.27E-01
0.046760999,-0.001908,0.010226,0.047002507,-0.001855625,0.01026069,0.035287756,3.11E-01
0.046725001,-0.001892,0.010252,0.046873808,-0.001764685,0.010286378,0.035287756,2.96E-01
0.046709999,-0.001937,0.010244,0.046836321,-0.001754516,0.010250335,0.034398112,2.83E-01
0.046657,-0.00194,0.010251,0.046665471,-0.001804628,0.010310736,0.034398112,2.71E-01
0.046574,-0.001933,0.010284,0.04641431,-0.001852623,0.010234201,0.044819467,2.60E-01
0.046500001,-0.001962,0.010277,0.046377636,-0.001941396,0.010182061,0.044819467,2.50E-01
0.046376999,-0.001903,0.010329,0.046400544,-0.002012318,0.010205687,0.057657331,2.41E-01
0.04628,-0.001871,0.010337,0.046013615,-0.001996977,0.010284874,0.057657331,2.34E-01
0.046163999,-0.001805,0.010357,0.045806691,-0.001922575,0.010291477,0.075057238,2.27E-01
0.046055999,-0.001779,0.010343,0.045942418,-0.001998754,0.010260344,0.075057238,2.21E-01
0.045963001,-0.001781,0.010342,0.045800376,-0.00199697,0.010193717,0.093563631,2.17E-01
0.045857999,-0.001761,0.010386,0.045770589,-0.002124485,0.010180867,0.093563631,2.13E-01
0.045738999,-0.001741,0.010429,0.045817771,-0.002016205,0.01021368,0.113350578,2.10E-01
0.045671999,-0.001765,0.010429,0.045759293,-0.001862839,0.01031168,0.113350578,2.08E-01
0.045536,-0.001692,0.010502,0.04563623,-0.001949545,0.010290888,0.14225702,2.06E-01
0.045437999,-0.001669,0.010502,0.045467075,-0.001869663,0.010315189,0.14225702,2.05E-01
0.045375001,-0.00168,0.010474,0.045675169,-0.001833716,0.010337946,0.17515929,2.05E-01
0.045235001,-0.001585,0.010532,0.045406601,-0.00191565,0.010330385,0.17515929,2.06E-01
0.045134999,-0.001545,0.010536,0.045367574,-0.001903564,0.010293184,0.208849534,2.07E-01
0.044950001,-0.00137,0.010644,0.045095177,-0.001894373,0.010280361,0.208849534,2.09E-01
0.044853002,-0.001333,0.010667,0.045117795,-0.001855717,0.010318436,0.243973047,2.11E-01
