frame,t,filtered_signal_norm_offline,displacement_norm_offline
1.880000000000000000e+02,6.250000000000000000e+00,8.917758094838008631e-01,5.498329791713503223e-01
1.890000000000000000e+02,6.283333333333333215e+00,8.802318837198170876e-01,5.735379448396649149e-01
1.900000000000000000e+02,6.316666666666666430e+00,8.651196051247665997e-01,5.962872669390650859e-01
1.910000000000000000e+02,6.349999999999999645e+00,8.469637610929665605e-01,6.178884818567402792e-01
1.920000000000000000e+02,6.383333333333333748e+00,8.262748319554984455e-01,6.381814068329884071e-01
1.930000000000000000e+02,6.416666666666666963e+00,8.035374549053627691e-01,6.570365057385165741e-01
1.940000000000000000e+02,6.450000000000000178e+00,7.792150736757821328e-01,6.743535488798830801e-01
1.950000000000000000e+02,6.483333333333333393e+00,7.537587579504134716e-01,6.900608305112168050e-01
1.960000000000000000e+02,6.516666666666666607e+00,7.276108143755390945e-01,7.041146146927449445e-01
1.970000000000000000e+02,6.549999999999999822e+00,7.012054641453220327e-01,7.164986239972598314e-01
1.980000000000000000e+02,6.583333333333333037e+00,6.749720567150214734e-01,7.272237314397026475e-01
1.990000000000000000e+02,6.616666666666666252e+00,6.493469834593272871e-01,7.363284057816211758e-01
2.000000000000000000e+02,6.650000000000000355e+00,6.248014704706047473e-01,7.438809143474888197e-01
2.010000000000000000e+02,6.683333333333333570e+00,6.018678466456830467e-01,7.499831869358801750e-01
2.020000000000000000e+02,6.716666666666666785e+00,5.811089210501698687e-01,7.547727432705212403e-01
2.030000000000000000e+02,6.750000000000000000e+00,5.629925170370182474e-01,7.584166864616422865e-01
2.040000000000000000e+02,6.783333333333333215e+00,5.477466334878079435e-01,7.610965374098507263e-01
2.050000000000000000e+02,6.816666666666666430e+00,5.353267374030330483e-01,7.629910009166254170e-01
2.060000000000000000e+02,6.849999999999999645e+00,5.255027271598703420e-01,7.642642310236330561e-01
2.070000000000000000e+02,6.883333333333333748e+00,5.179547343895721800e-01,7.650601545018766991e-01
2.080000000000000000e+02,6.916666666666666963e+00,5.123042279880436478e-01,7.654987612412996745e-01
2.090000000000000000e+02,6.950000000000000178e+00,5.080945307639143094e-01,7.656711625866113868e-01
2.100000000000000000e+02,6.983333333333333393e+00,5.047634219812553447e-01,7.656329171611215845e-01
2.110000000000000000e+02,7.016666666666666607e+00,5.016470631893806820e-01,7.653976049452625441e-01
2.120000000000000000e+02,7.049999999999999822e+00,4.980390437432201667e-01,7.649341351713919712e-01
2.130000000000000000e+02,7.083333333333333037e+00,4.932725184588349632e-01,7.641692482945053877e-01
2.140000000000000000e+02,7.116666666666666252e+00,4.867729804733937904e-01,7.629933551198169184e-01
2.150000000000000000e+02,7.150000000000000355e+00,4.780828284425713282e-01,7.612679294673547759e-01
2.160000000000000000e+02,7.183333333333333570e+00,4.668736723404899869e-01,7.588336790089879047e-01
2.170000000000000000e+02,7.216666666666666785e+00,4.529319772774481612e-01,7.555178082745679369e-01
2.180000000000000000e+02,7.250000000000000000e+00,4.361238089802741413e-01,7.511390522950539550e-01
2.190000000000000000e+02,7.283333333333333215e+00,4.163731116743526472e-01,7.455113366207285486e-01
2.200000000000000000e+02,7.316666666666666430e+00,3.936613121053874065e-01,7.384474122992396028e-01
2.210000000000000000e+02,7.349999999999999645e+00,3.680369356659543567e-01,7.297630989412616787e-01
2.220000000000000000e+02,7.383333333333333748e+00,3.396356145375847291e-01,7.192827930256894264e-01
2.230000000000000000e+02,7.416666666666666963e+00,3.087135707601379453e-01,7.068470935480049011e-01
2.240000000000000000e+02,7.450000000000000178e+00,2.756966725607434276e-01,6.923235298060863574e-01
2.250000000000000000e+02,7.483333333333333393e+00,2.412441997554913842e-01,6.756213214698096881e-01
2.260000000000000000e+02,7.516666666666666607e+00,2.063152803829698401e-01,6.567103398530819147e-01
2.270000000000000000e+02,7.549999999999999822e+00,1.721909162494401624e-01,6.356414619983781211e-01
2.280000000000000000e+02,7.583333333333333037e+00,1.403793018014518057e-01,6.125609374834570797e-01
2.290000000000000000e+02,7.616666666666666252e+00,1.124028148720610520e-01,5.877112853252930424e-01
2.300000000000000000e+02,7.650000000000000355e+00,8.954023674480271477e-02,5.614158898519365781e-01
2.310000000000000000e+02,7.683333333333333570e+00,7.262059630794175102e-02,5.340505600552991616e-01
2.320000000000000000e+02,7.716666666666666785e+00,6.197109020530641721e-02,5.060117956104653869e-01
2.330000000000000000e+02,7.750000000000000000e+00,5.750380875651257134e-02,4.776905371154976376e-01
2.340000000000000000e+02,7.783333333333333215e+00,5.882397102763400887e-02,4.494527607093748434e-01
2.350000000000000000e+02,7.816666666666666430e+00,6.532494643351628716e-02,4.216260814981075966e-01
2.360000000000000000e+02,7.849999999999999645e+00,7.627919572282393368e-02,3.944921077461641112e-01
2.370000000000000000e+02,7.883333333333333748e+00,9.090373320970948634e-02,3.682829346528234682e-01
2.380000000000000000e+02,7.916666666666666963e+00,1.084196006040546445e-01,3.431813990295096706e-01
2.390000000000000000e+02,7.950000000000000178e+00,1.281117137900615044e-01,3.193251184619562144e-01
2.400000000000000000e+02,7.983333333333333393e+00,1.493276475756096233e-01,2.968104536244962066e-01
2.410000000000000000e+02,8.016666666666667496e+00,1.714279724200462041e-01,2.756933300761058581e-01
2.420000000000000000e+02,8.050000000000000711e+00,1.937919082018698114e-01,2.559904175794171510e-01
2.430000000000000000e+02,8.083333333333333925e+00,2.158910507547631419e-01,2.376849716081348707e-01
2.440000000000000000e+02,8.116666666666667140e+00,2.373441283802498192e-01,2.207361374500395601e-01
2.450000000000000000e+02,8.150000000000000355e+00,2.579211989206786071e-01,2.050885197170768670e-01
2.460000000000000000e+02,8.183333333333333570e+00,2.775319383151285679e-01,1.906810112678394287e-01
2.470000000000000000e+02,8.216666666666666785e+00,2.962093659655884448e-01,1.774545929835140978e-01
2.480000000000000000e+02,8.250000000000000000e+00,3.140729285296731677e-01,1.653577991019483939e-01
2.490000000000000000e+02,8.283333333333333215e+00,3.312759762647889961e-01,1.543488611535823452e-01
2.500000000000000000e+02,8.316666666666666430e+00,3.479641241696374010e-01,1.443952188128280190e-01
2.510000000000000000e+02,8.349999999999999645e+00,3.642544816929676466e-01,1.354717173144736053e-01
2.520000000000000000e+02,8.383333333333332860e+00,3.802257382394987340e-01,1.275581779148310946e-01
2.530000000000000000e+02,8.416666666666666075e+00,3.959113300047970574e-01,1.206365362492627658e-01
2.540000000000000000e+02,8.449999999999999289e+00,4.112909896208534755e-01,1.146874463211264433e-01
2.550000000000000000e+02,8.483333333333332504e+00,4.262739886846158566e-01,1.096858248113547624e-01
2.560000000000000000e+02,8.516666666666667496e+00,4.406764738311146901e-01,1.055949622066729293e-01
2.570000000000000000e+02,8.550000000000000711e+00,4.542210233723266155e-01,1.023606058913297534e-01
2.580000000000000000e+02,8.583333333333333925e+00,4.665933131718056348e-01,9.990862657527588286e-02
2.590000000000000000e+02,8.616666666666667140e+00,4.775310567668371031e-01,9.814830896061814414e-02
2.600000000000000000e+02,8.650000000000000355e+00,4.868733756425437931e-01,9.697876439822812611e-02
