gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,state_00,state_0
0.053490002,-0.002892,0.008142,0.053499696,-0.002600991,0.008285867,0.265345991,6.50E-01
0.053482998,-0.002927,0.008121,0.053403875,-0.002640534,0.00832531,0.235694498,6.47E-01
0.053449001,-0.002992,0.008092,0.053568974,-0.00267295,0.008282559,0.235694498,6.42E-01
0.053362999,-0.002964,0.008142,0.053460497,-0.002686025,0.008308304,0.213886246,6.34E-01
0.053233001,-0.002924,0.0082,0.053557782,-0.002683835,0.008347783,0.213886246,6.23E-01
0.053128,-0.002943,0.008219,0.053404412,-0.002691444,0.008385953,0.19810912,6.10E-01
0.053017002,-0.002988,0.008211,0.053333292,-0.002634975,0.008424977,0.19810912,5.93E-01
0.052898999,-0.002981,0.00822,0.053247476,-0.002659513,0.008445766,0.191601261,5.74E-01
0.052813001,-0.002962,0.00823,0.053304361,-0.002653048,0.008429246,0.191601261,5.53E-01
0.052710999,-0.002928,0.008248,0.053237024,-0.002596102,0.008410312,0.191868708,5.29E-01
0.052607998,-0.002921,0.008259,0.053162828,-0.002601609,0.008463146,0.191868708,5.04E-01
0.052496001,-0.002906,0.008296,0.053250618,-0.002659484,0.008463222,0.196348682,4.77E-01
0.052370001,-0.002865,0.008342,0.053169809,-0.002589351,0.008541836,0.196348682,4.49E-01
0.052209001,-0.00284,0.008409,0.053072108,-0.00268546,0.008471983,0.212095439,4.21E-01
0.052122001,-0.002856,0.008418,0.053155167,-0.002656363,0.008470038,0.212095439,3.94E-01
0.052037001,-0.002838,0.008458,0.053134513,-0.002666492,0.008461868,0.234545231,3.66E-01
0.051938999,-0.002785,0.008495,0.053018449,-0.002673457,0.008470536,0.234545231,3.40E-01
0.051881999,-0.002769,0.008517,0.053078797,-0.002695624,0.008496788,0.266369998,3.15E-01
0.051814001,-0.002771,0.008538,0.053027399,-0.002652897,0.008551469,0.266369998,2.91E-01
0.051697999,-0.002708,0.008598,0.052978802,-0.002632812,0.008558832,0.302202225,2.69E-01
0.051599,-0.002669,0.008638,0.052842782,-0.002609943,0.008607823,0.302202225,2.50E-01
0.051511001,-0.002679,0.008639,0.052828309,-0.002596561,0.008675529,0.338689864,2.33E-01
0.051380999,-0.002606,0.008716,0.05282064,-0.002601135,0.008653039,0.338689864,2.17E-01
0.051309999,-0.002609,0.008731,0.052711205,-0.002570923,0.008719897,0.377207071,2.05E-01
0.051226001,-0.002583,0.008778,0.052658435,-0.002590509,0.008687632,0.377207071,1.94E-01
0.051130001,-0.002553,0.008809,0.052721481,-0.00261351,0.008690684,0.415087044,1.85E-01
0.051031999,-0.002484,0.008865,0.052661645,-0.002644773,0.008670051,0.415087044,1.78E-01
0.050956,-0.002475,0.008887,0.052426865,-0.002631793,0.008691902,0.44696492,1.72E-01
0.050795,-0.0024,0.008967,0.052422214,-0.002658766,0.008697413,0.44696492,1.68E-01
0.050687999,-0.002398,0.009014,0.052222608,-0.002639113,0.00870645,0.473790914,1.65E-01
0.050551999,-0.002392,0.009045,0.052098386,-0.002663188,0.008692387,0.473790914,1.62E-01
0.050368,-0.002372,0.009098,0.051959899,-0.002636606,0.008764661,0.49636507,1.60E-01
0.050237,-0.002353,0.009152,0.05181198,-0.00264075,0.008737762,0.49636507,1.59E-01
0.050112002,-0.002317,0.009215,0.051722194,-0.002641501,0.008781631,0.511607409,1.57E-01
0.049991999,-0.0023,0.009271,0.051658782,-0.002644858,0.008797607,0.511607409,1.56E-01
0.04989,-0.002299,0.009322,0.051638136,-0.002576658,0.008858996,0.5218063,1.54E-01
0.049821001,-0.002281,0.009384,0.051560405,-0.002526436,0.008902959,0.5218063,1.53E-01
0.049692001,-0.002166,0.009484,0.051444543,-0.002505756,0.008963211,0.530691624,1.52E-01
0.049647,-0.002196,0.009497,0.051424072,-0.002389709,0.008980646,0.530691624,1.51E-01
0.049564,-0.002136,0.009574,0.051322376,-0.002372292,0.009021231,0.539172351,1.50E-01
0.049529001,-0.002156,0.009597,0.05124332,-0.002362973,0.009010847,0.539172351,1.49E-01
0.049444001,-0.002123,0.009656,0.051165625,-0.00234696,0.009121858,0.546219468,1.49E-01
0.049336001,-0.002067,0.009746,0.051113911,-0.002232353,0.009181123,0.546219468,1.48E-01
0.049245998,-0.002024,0.009832,0.05079564,-0.002254551,0.009257218,0.542791724,1.48E-01
0.049137,-0.001961,0.009892,0.050666242,-0.002250738,0.009324792,0.542791724,1.48E-01
0.049040999,-0.001927,0.00993,0.050644352,-0.002241145,0.009335108,0.53335768,1.48E-01
0.048999999,-0.001952,0.009919,0.050513066,-0.002226486,0.009405886,0.53335768,1.47E-01
0.048919,-0.001885,0.009978,0.050426913,-0.002223853,0.009448454,0.534646988,1.47E-01
0.048884001,-0.001899,0.009976,0.050190649,-0.002153261,0.009535672,0.534646988,1.46E-01
0.048893001,-0.001963,0.009945,0.050037763,-0.002138835,0.009599414,0.559919715,1.46E-01
0.048829999,-0.001937,0.009994,0.049922598,-0.002146443,0.009651704,0.559919715,1.45E-01
0.048772998,-0.001947,0.009989,0.049841066,-0.002138291,0.009704178,0.599214435,1.45E-01
0.048643,-0.001909,0.010046,0.049779277,-0.00212901,0.009727208,0.599214435,1.44E-01
0.048588,-0.001955,0.010019,0.049675247,-0.002136265,0.009756334,0.648697913,1.44E-01
0.048477001,-0.001917,0.010101,0.049454742,-0.002112145,0.009848077,0.648697913,1.44E-01
0.048404999,-0.001922,0.010099,0.049248586,-0.002118964,0.009854988,0.701828003,1.44E-01
0.04834,-0.001927,0.010102,0.049136563,-0.00207467,0.009924383,0.701828003,1.46E-01
0.048262998,-0.001911,0.010131,0.049015474,-0.002012023,0.009992826,0.754577875,1.49E-01
0.048176002,-0.001862,0.010158,0.048919453,-0.002000367,0.010011125,0.754577875,1.52E-01
0.048126999,-0.001855,0.010167,0.04892527,-0.001959792,0.010093308,0.798662007,1.58E-01
