gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,phase,motion
0.046725001,-0.001892,0.010252,0.046032673,-0.001215607,0.011088426,0.035287756,2.96E-01
0.046709999,-0.001937,0.010244,0.045118008,-0.001301521,0.010589791,0.034398112,2.83E-01
0.046657,-0.00194,0.010251,0.046094094,-0.001138425,0.011322459,0.034398112,2.71E-01
0.046574,-0.001933,0.010284,0.046124225,-0.000916998,0.011852936,0.044819467,2.60E-01
0.046500001,-0.001962,0.010277,0.044320057,-0.000967592,0.010536009,0.044819467,2.50E-01
0.046376999,-0.001903,0.010329,0.043724048,-0.001549888,0.011172275,0.057657331,2.41E-01
0.04628,-0.001871,0.010337,0.045238192,-0.001395016,0.011681468,0.057657331,2.34E-01
0.046163999,-0.001805,0.010357,0.045586397,-0.001783728,0.011646955,0.075057238,2.27E-01
0.046055999,-0.001779,0.010343,0.046071358,-0.00104236,0.010366183,0.075057238,2.21E-01
0.045963001,-0.001781,0.010342,0.046982635,-0.001426987,0.011467008,0.093563631,2.17E-01
0.045857999,-0.001761,0.010386,0.046437217,-0.000882453,0.010966867,0.093563631,2.13E-01
0.045738999,-0.001741,0.010429,0.044913989,-0.001296237,0.010963558,0.113350578,2.10E-01
0.045671999,-0.001765,0.010429,0.046216951,-0.001412906,0.011440433,0.113350578,2.08E-01
0.045536,-0.001692,0.010502,0.045950629,-0.001614171,0.010978946,0.14225702,2.06E-01
0.045437999,-0.001669,0.010502,0.04454863,-0.001501941,0.011559578,0.14225702,2.05E-01
0.045375001,-0.00168,0.010474,0.045058208,-0.001008654,0.01128913,0.17515929,2.05E-01
0.045235001,-0.001585,0.010532,0.046056269,-0.001038214,0.010129023,0.17515929,2.06E-01
0.045134999,-0.001545,0.010536,0.046492462,-0.001589753,0.010825579,0.208849534,2.07E-01
0.044950001,-0.00137,0.010644,0.04517414,-0.001532174,0.01075616,0.208849534,2.09E-01
0.044853002,-0.001333,0.010667,0.044448518,-0.001437792,0.011614282,0.243973047,2.11E-01
0.044727001,-0.001246,0.010747,0.044710069,-0.00135714,0.011400959,0.243973047,2.14E-01
0.044654999,-0.001213,0.010782,0.046765016,-0.001070851,0.009401266,0.279473364,2.17E-01
0.044574,-0.001164,0.01082,0.044947608,-0.001296728,0.010528675,0.279473364,2.21E-01
0.044512,-0.001137,0.010839,0.045945305,-0.000997957,0.010907389,0.313506484,2.26E-01
0.044477001,-0.001119,0.010868,0.047545448,-0.001411595,0.010858716,0.313506484,2.31E-01
0.044397999,-0.001042,0.010931,0.04638954,-0.001192593,0.010653286,0.343208611,2.38E-01
0.044365,-0.001046,0.010934,0.044581586,-0.00133868,0.010901015,0.343208611,2.45E-01
0.044305,-0.001007,0.010965,0.043224504,-0.001168566,0.01108094,0.368946671,2.54E-01
0.044250999,-0.001012,0.010977,0.04279551,-0.000826595,0.012068697,0.368946671,2.64E-01
0.044148002,-0.000942,0.011038,0.043473942,-0.00121776,0.010933761,0.391258568,2.75E-01
0.044073001,-0.000949,0.011061,0.044556774,-0.001063797,0.012220683,0.391258568,2.88E-01
0.04397,-0.000886,0.011125,0.043099583,-0.000908312,0.012283169,0.4104909,3.03E-01
0.043878,-0.000843,0.011165,0.042840233,-0.000691006,0.011484306,0.4104909,3.20E-01
0.043786999,-0.000796,0.011188,0.04194771,-0.00137609,0.011875801,0.426994354,3.38E-01
0.043731,-0.000787,0.011179,0.043255112,-0.000804065,0.011600302,0.426994354,3.58E-01
0.043643001,-0.000712,0.011253,0.042189536,-0.000896963,0.012941444,0.461417168,3.79E-01
0.043591,-0.000709,0.011258,0.042842122,-0.000696853,0.012899576,0.461417168,4.02E-01
0.043488,-0.000673,0.01131,0.042189588,-0.001215211,0.012145685,0.515605748,4.26E-01
0.043435998,-0.000711,0.011301,0.042844711,-0.000716264,0.012039075,0.515605748,4.50E-01
0.043364,-0.000696,0.011341,0.042799634,-0.00115425,0.011974128,0.581892669,4.75E-01
0.043301001,-0.000676,0.01137,0.045012158,-0.000963061,0.011599216,0.581892669,5.00E-01
0.043257002,-0.000648,0.011388,0.045020483,-0.000757545,0.011854045,0.649116337,5.25E-01
0.043196999,-0.000584,0.01145,0.045129565,-0.000769376,0.012082899,0.649116337,5.50E-01
0.043171,-0.000611,0.011436,0.045212348,-0.000916259,0.011112074,0.713131607,5.74E-01
0.043081,-0.00054,0.011505,0.045708298,-0.001266405,0.011449593,0.713131607,5.96E-01
