gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,state_0,state_11,state_1
0.043364,-0.000696,0.011341,0.043246751,-0.001043764,0.011115328,0.581892669,,0.581892669
0.043301001,-0.000676,0.01137,0.043145125,-0.001002338,0.011140355,0.581892669,,0.581892669
0.043257002,-0.000648,0.011388,0.043021727,-0.00094542,0.011137377,0.649116337,,0.649116337
0.043196999,-0.000584,0.01145,0.042970889,-0.001010341,0.011152341,0.649116337,,0.649116337
0.043171,-0.000611,0.011436,0.042901906,-0.000961986,0.011244838,0.713131607,,0.713131607
0.043081,-0.00054,0.011505,0.042895941,-0.000895782,0.011274106,0.713131607,,0.713131607
0.043056998,-0.000603,0.011474,0.042876069,-0.000868745,0.011346997,0.76635164,,0.76635164
0.042996,-0.000562,0.011527,0.042778293,-0.000814272,0.011308394,0.76635164,,0.76635164
0.042978,-0.000541,0.011538,0.04278609,-0.000807192,0.011351814,0.806951463,,0.806951463
0.042987999,-0.00056,0.011533,0.042632352,-0.000761425,0.011383217,0.806951463,,0.806951463
0.043009002,-0.000604,0.01151,0.042624227,-0.000681226,0.011425082,0.831706941,,0.831706941
0.042991001,-0.000578,0.011518,0.042527358,-0.000682444,0.011460275,0.831706941,,0.831706941
0.042991001,-0.000571,0.011522,0.042590806,-0.000620523,0.011501958,0.84595257,,0.84595257
0.042991001,-0.000558,0.011534,0.042480297,-0.000599341,0.011566237,0.84595257,,0.84595257
0.043000001,-0.000574,0.011524,0.042346248,-0.000601169,0.011575452,0.850940764,,0.850940764
0.042994,-0.00057,0.011536,0.042210685,-0.000596685,0.011596362,0.850940764,,0.850940764
0.043042,-0.000601,0.011508,0.042222699,-0.000628986,0.011612102,0.848157406,,0.848157406
0.043071002,-0.000556,0.011517,0.042156643,-0.000595434,0.011693945,0.848157406,,0.848157406
0.043093,-0.000554,0.011523,0.042134046,-0.000586266,0.011674963,0.832889616,,0.832889616
0.043141998,-0.000582,0.01151,0.042061422,-0.000536179,0.011714133,0.832889616,,0.832889616
0.043136001,-0.000568,0.011527,0.041910533,-0.000524299,0.011745226,0.807252645,,0.807252645
0.043134,-0.000559,0.011527,0.041946994,-0.000525688,0.011710203,0.807252645,,0.807252645
0.043113999,-0.000523,0.011547,0.04194194,-0.00052399,0.011710571,0.771526217,,0.771526217
0.043150999,-0.000588,0.011503,0.042000939,-0.000559641,0.011702815,0.771526217,,0.771526217
0.043143,-0.000571,0.011504,0.042026964,-0.000512575,0.011706456,0.731925726,,0.731925726
0.043132,-0.000556,0.011512,0.042023934,-0.000532308,0.011729619,0.731925726,,0.731925726
0.043148998,-0.000586,0.011479,0.041808122,-0.000560853,0.011786854,0.691927731,,0.691927731
0.043138999,-0.000568,0.011502,0.041838637,-0.000564203,0.011794523,0.691927731,,0.691927731
0.043120001,-0.000526,0.011542,0.041709638,-0.000527904,0.011800901,0.661476612,,0.661476612
0.043111,-0.000506,0.01155,0.041694881,-0.000544276,0.011819371,0.661476612,,0.661476612
0.043147001,-0.000567,0.011503,0.041751969,-0.000558849,0.011804259,0.639952302,,0.639952302
0.043106999,-0.000493,0.011547,0.041699389,-0.00054193,0.011827404,0.639952302,,0.639952302
0.043133002,-0.000536,0.011505,0.04146399,-0.000539619,0.011810156,0.622854769,,0.622854769
0.043132,-0.000531,0.011506,0.041583917,-0.000542089,0.011828559,0.622854769,,0.622854769
0.043115001,-0.000499,0.011537,0.041636245,-0.000553453,0.011869242,0.60449934,,0.60449934
0.043116,-0.000508,0.011536,0.041656815,-0.000541272,0.01189039,0.60449934,,0.60449934
0.043117002,-0.000512,0.011534,0.04168833,-0.00050315,0.011872784,0.5855515,,0.5855515
0.043133002,-0.000542,0.011499,0.041801056,-0.000535331,0.011880977,0.5855515,,0.5855515
0.043122999,-0.000526,0.011516,0.041791332,-0.000474216,0.011900754,0.567156315,,0.567156315
0.043113999,-0.000501,0.011541,0.041763682,-0.000477302,0.011895393,0.567156315,,0.567156315
0.043102998,-0.000475,0.011557,0.041892032,-0.000526736,0.011815447,0.550500751,,0.550500751
0.043110002,-0.000488,0.011527,0.041988733,-0.000556095,0.011814705,0.550500751,,0.550500751
0.043099001,-0.00055,0.011506,0.04188681,-0.000567336,0.011802823,0.535662293,,0.535662293
0.043019999,-0.000536,0.011541,0.041979795,-0.000557905,0.011823668,0.535662293,,0.535662293
0.042982999,-0.000554,0.011534,0.041960347,-0.000519236,0.011831797,0.493308038,,0.493308038
0.042906001,-0.000518,0.011555,0.041914087,-0.000548246,0.011826203,0.493308038,,0.493308038
0.042863999,-0.000502,0.011569,0.04183436,-0.000530525,0.011830496,0.431327641,,0.431327641
0.042833,-0.00051,0.011566,0.041878753,-0.000521515,0.011850585,0.431327641,,0.431327641
0.042794999,-0.000542,0.011557,0.041876688,-0.000560098,0.011850934,0.35450387,,0.35450387
0.042748,-0.000543,0.011584,0.041799977,-0.000524535,0.011866236,0.35450387,,0.35450387
0.042681001,-0.000526,0.011622,0.041879149,-0.000564501,0.011806648,0.278825939,,0.278825939
0.042631999,-0.000558,0.011611,0.041801825,-0.000540937,0.011828967,0.278825939,,0.278825939
0.042537998,-0.000498,0.011669,0.041750299,-0.000527005,0.011819353,0.211958364,,0.211958364
0.042495001,-0.00053,0.011673,0.041704087,-0.000570437,0.011866714,0.211958364,,0.211958364
